,external_urls,href,type,uri,id
22,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,28jHD8xBLnN8esbroQ6zz8
23,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,0G21yYKMZoHa30cYVi1iA8
24,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,2z4U9d5OAA4YLNXoCgioxo
25,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,7wvo89jxI2T4coy9yIvZWM
26,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,4vnYwFOZCVl0bmerWyuzRw
27,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,5u5MpBnvJejW9dHPrfWEXZ
28,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,3kROc4cT1QMKyQdPd0Gbvm
29,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,30VrBsh1STRBoIrhQOAwzK
30,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,6aU6a9tdn2vHhnPGlboFZX
31,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,5qGwqO0lkbBXw4xNfzT7SF
32,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,2sgBTNHz9ckmqj3rx3ez4M
33,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,7FOgcfdz9Nx5V9lCNXdBYv
34,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,1UNEuG9DYOWiikf00ayr52
35,,,,,50PsIMoFsYh2clFHipEi8c
36,,,,,3Yqk2pdNJUtI7VOtweASV8
0,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,3Yqk2pdNJUtI7VOtweASV8
1,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,03e1GRUSLzgGppP7pQpQZB
2,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,3BWbj5NXUgr0hK7PmFSI9D
3,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,3f9Mzvd3URfbbIJBX4pz9Z
4,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,6FpnI0HaZdYSqM2hKVwT0U
5,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,3C542UknrX76XSRXTyQ1Qg
6,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,312A8WfROSLvZbMDHBUPDp
7,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,3GTXok0dIm0mMqBiVklBYS
8,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,213x4gsFDm04hSqIUkg88w
9,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,7lOlKhTXmv4sMxyhjsWwn8
10,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,0fXfJTjMS6TCRGiUsVX0hV
11,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,0gFYaybc4gOzplkux4iA8Z
12,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,1GVkrFVc94CTjm9bdSmGjp
13,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,1FTSo4v6BOZH9QxKc3MbVM
14,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,7p4vHnYXkxlzvfePJVpcTr
15,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,1jJci4qxiYcOHhQR247rEU
16,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,6kh17zXl4MM4AzSeJP02hB
17,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,2O9O26335YYVckmRgPKY3s
18,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,0kwLss5Wxuxoa3ahUcqM28
19,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,12ZC7GrMQNo6xXJdN89d8P
20,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,6nb3ICspniGhYzkp2AOfQw
21,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,0xErrzRegFIsekcvQ5wsS0
22,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,2Iq6HhIquO7JKr0KfTNLzU
23,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,7eeg1G22Q386Zigie8qrpN
24,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,5GOSzDw4CGK2j5EmyisPmA
25,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,4xigPf2sigSPmuFH3qCelB
26,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,4Hn5Jhz7OAdfTqrKZzN0tf
27,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,60eOMEt3WNVX1m1jmApmnX
28,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,5qaaQp6KvkEdB2q7SKQAcJ
29,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,0ct6r3EGTcMLPtrXHDvVjc
30,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,1mNjkH9yrJBxxzVOc5n5W0
31,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,2CdNHP8DJ5tfbRoIRdcTeE
32,,,,,0eehHRQY2nlimtLjCI9xRf
0,https://open.spotify.com/playlist/4y85MI3qRoui5GPSHWl8Op,https://api.spotify.com/v1/playlists/4y85MI3qRoui5GPSHWl8Op,playlist,spotify:playlist:4y85MI3qRoui5GPSHWl8Op,34WI9hCaE3AzbOYT9wFXLP
